Country,WeekEnding,AgeBand,AgeBandQF,Admissions,AdmissionsQF
S92000003,20210425,40-49,"",8,""
S92000003,20210502,40-49,"",13,""
S92000003,20210509,40-49,"",13,""
S92000003,20210516,40-49,"",14,""
S92000003,20210523,40-49,"",18,""
S92000003,20210530,40-49,"",25,""
S92000003,20210606,40-49,"",22,""
S92000003,20210613,40-49,"",32,""
S92000003,20210620,40-49,"",30,""
S92000003,20210627,40-49,"",29,""
S92000003,20210704,40-49,"",41,""
S92000003,20210711,40-49,"",63,""
S92000003,20210718,40-49,"",71,""
S92000003,20210725,40-49,"",42,""
S92000003,20210801,40-49,"",31,""
S92000003,20210808,40-49,"",37,""
S92000003,20210815,40-49,"",33,""
S92000003,20210822,40-49,"",33,""
S92000003,20210829,40-49,"",49,""
S92000003,20210905,40-49,"",70,""
S92000003,20210912,40-49,"",110,""
S92000003,20210919,40-49,"",97,""
S92000003,20210926,40-49,"",70,""
S92000003,20211003,40-49,"",64,""
S92000003,20211010,40-49,"",43,""
S92000003,20211017,40-49,"",45,""
S92000003,20211024,40-49,"",45,""
S92000003,20211031,40-49,"",61,""
S92000003,20211107,40-49,"",49,""
S92000003,20211114,40-49,"",56,""
S92000003,20211121,40-49,"",44,""
S92000003,20211128,40-49,"",43,""
S92000003,20211205,40-49,"",30,""
S92000003,20211212,40-49,"",53,""
S92000003,20211219,40-49,"",52,""
S92000003,20211226,40-49,"",47,""
S92000003,20220102,40-49,"",67,""
S92000003,20220109,40-49,"",66,""
S92000003,20220116,40-49,"",47,""
S92000003,20220123,40-49,"",38,""
S92000003,20220130,40-49,"",32,""
S92000003,20220206,40-49,"",50,""
S92000003,20220213,40-49,"",32,""
S92000003,20220220,40-49,"",31,""
S92000003,20220227,40-49,"",30,""
S92000003,20220306,40-49,"",32,""
S92000003,20220313,40-49,"",51,""
S92000003,20220320,40-49,"",45,""
S92000003,20220327,40-49,"",54,""
S92000003,20220403,40-49,"",59,""
S92000003,20220410,40-49,"",45,""
S92000003,20220417,40-49,"",32,""
S92000003,20220424,40-49,"",24,""
S92000003,20220501,40-49,"",15,""
S92000003,20220508,40-49,"",15,""
S92000003,20220515,40-49,"",23,""
S92000003,20220522,40-49,"",9,""
S92000003,20220529,40-49,"",10,""
S92000003,20220605,40-49,"",10,""
S92000003,20220612,40-49,"",29,""
S92000003,20220619,40-49,"",23,""
S92000003,20220626,40-49,"",40,""
S92000003,20220703,40-49,"",34,""
S92000003,20220710,40-49,"",30,""
S92000003,20220717,40-49,"",34,""
S92000003,20220724,40-49,"",24,""
S92000003,20220731,40-49,"",25,""
S92000003,20220807,40-49,"",20,""
S92000003,20220814,40-49,"",18,""
S92000003,20220821,40-49,"",9,""
S92000003,20220828,40-49,"",13,""
S92000003,20220904,40-49,"",12,""
S92000003,20220911,40-49,"",12,""
S92000003,20220918,40-49,"",12,""
S92000003,20220925,40-49,"",13,""
S92000003,20221002,40-49,"",8,""
S92000003,20221009,40-49,"",9,""
S92000003,20221016,40-49,"",10,""
S92000003,20200301,50-54,"","",c
S92000003,20200308,50-54,"",0,""
S92000003,20200315,50-54,"",5,""
S92000003,20200322,50-54,"",14,""
S92000003,20200329,50-54,"",57,""
S92000003,20200405,50-54,"",79,""
S92000003,20200412,50-54,"",56,""
S92000003,20200419,50-54,"",53,""
S92000003,20200426,50-54,"",25,""
S92000003,20200503,50-54,"",23,""
S92000003,20200510,50-54,"",16,""
S92000003,20200517,50-54,"",14,""
S92000003,20200524,50-54,"","",c
S92000003,20200531,50-54,"","",c
S92000003,20200607,50-54,"",0,""
S92000003,20200614,50-54,"","",c
S92000003,20200621,50-54,"","",c
S92000003,20200628,50-54,"",0,""
S92000003,20200705,50-54,"",0,""
S92000003,20200712,50-54,"",0,""
S92000003,20200719,50-54,"",0,""
S92000003,20200726,50-54,"",0,""
S92000003,20200802,50-54,"",0,""
S92000003,20200809,50-54,"","",c
S92000003,20200816,50-54,"",0,""
S92000003,20200823,50-54,"",0,""
S92000003,20200830,50-54,"","",c
S92000003,20200906,50-54,"","",c
S92000003,20200913,50-54,"","",c
S92000003,20200920,50-54,"",5,""
S92000003,20200927,50-54,"",14,""
S92000003,20201004,50-54,"",18,""
S92000003,20201011,50-54,"",29,""
S92000003,20201018,50-54,"",41,""
S92000003,20201025,50-54,"",48,""
S92000003,20201101,50-54,"",62,""
S92000003,20201108,50-54,"",23,""
S92000003,20201115,50-54,"",24,""
S92000003,20201122,50-54,"",31,""
S92000003,20201129,50-54,"",27,""
S92000003,20201206,50-54,"",28,""
S92000003,20201213,50-54,"",25,""
S92000003,20201220,50-54,"",32,""
S92000003,20201227,50-54,"",19,""
S92000003,20210103,50-54,"",46,""
S92000003,20210110,50-54,"",79,""
S92000003,20210117,50-54,"",76,""
S92000003,20210124,50-54,"",89,""
S92000003,20210131,50-54,"",51,""
S92000003,20210207,50-54,"",42,""
S92000003,20210214,50-54,"",39,""
S92000003,20210221,50-54,"",35,""
S92000003,20210228,50-54,"",32,""
S92000003,20210307,50-54,"",36,""
S92000003,20210314,50-54,"",22,""
S92000003,20210321,50-54,"",17,""
S92000003,20210328,50-54,"",9,""
S92000003,20210404,50-54,"",15,""
S92000003,20210411,50-54,"",6,""
S92000003,20210418,50-54,"",5,""
S92000003,20210425,50-54,"",5,""
S92000003,20210502,50-54,"","",c
S92000003,20210509,50-54,"",6,""
S92000003,20210516,50-54,"",5,""
S92000003,20210523,50-54,"",7,""
S92000003,20210530,50-54,"",5,""
S92000003,20210606,50-54,"",6,""
S92000003,20210613,50-54,"",5,""
S92000003,20210620,50-54,"",9,""
S92000003,20210627,50-54,"",11,""
S92000003,20210704,50-54,"",30,""
S92000003,20210711,50-54,"",31,""
S92000003,20210718,50-54,"",35,""
S92000003,20210725,50-54,"",31,""
S92000003,20210801,50-54,"",20,""
S92000003,20210808,50-54,"",13,""
S92000003,20210815,50-54,"",13,""
S92000003,20210822,50-54,"",24,""
S92000003,20210829,50-54,"",40,""
S92000003,20210905,50-54,"",47,""
S92000003,20210912,50-54,"",64,""
S92000003,20210919,50-54,"",50,""
S92000003,20210926,50-54,"",34,""
S92000003,20211003,50-54,"",41,""
S92000003,20211010,50-54,"",33,""
S92000003,20211017,50-54,"",30,""
S92000003,20211024,50-54,"",38,""
S92000003,20211031,50-54,"",36,""
S92000003,20211107,50-54,"",37,""
S92000003,20211114,50-54,"",44,""
S92000003,20211121,50-54,"",30,""
S92000003,20211128,50-54,"",19,""
S92000003,20211205,50-54,"",37,""
S92000003,20211212,50-54,"",30,""
S92000003,20211219,50-54,"",32,""
S92000003,20211226,50-54,"",37,""
S92000003,20220102,50-54,"",45,""
S92000003,20220109,50-54,"",43,""
S92000003,20220116,50-54,"",31,""
S92000003,20220123,50-54,"",30,""
S92000003,20220130,50-54,"",19,""
S92000003,20220206,50-54,"",20,""
S92000003,20220213,50-54,"",26,""
S92000003,20220220,50-54,"",17,""
S92000003,20220227,50-54,"",28,""
S92000003,20220306,50-54,"",32,""
S92000003,20220313,50-54,"",27,""
S92000003,20220320,50-54,"",43,""
S92000003,20220327,50-54,"",43,""
S92000003,20220403,50-54,"",36,""
S92000003,20220410,50-54,"",26,""
S92000003,20220417,50-54,"",13,""
S92000003,20220424,50-54,"",17,""
S92000003,20220501,50-54,"",12,""
S92000003,20220508,50-54,"",8,""
S92000003,20220515,50-54,"",15,""
S92000003,20220522,50-54,"",13,""
S92000003,20220529,50-54,"",15,""
S92000003,20220605,50-54,"",15,""
S92000003,20220612,50-54,"",11,""
S92000003,20220619,50-54,"",21,""
S92000003,20220626,50-54,"",34,""
S92000003,20220703,50-54,"",22,""
S92000003,20220710,50-54,"",25,""
S92000003,20220717,50-54,"",29,""
S92000003,20220724,50-54,"",24,""
S92000003,20220731,50-54,"",18,""
S92000003,20220807,50-54,"",12,""
S92000003,20220814,50-54,"",13,""
S92000003,20220821,50-54,"","",c
