id,week_ending,hb,hbqf,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_var,hb_name,hb_date_enacted,hb_date_archived,country,year,month,day,wdate,iswinter,above_thresh
77,20200112,S08000016,NA,1,All,d,14,14,0,NHS Borders,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
78,20200112,S08000016,NA,2,All,d,50,60.5,-17.4,NHS Borders,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
79,20200112,S08000016,NA,3,All,d,97,108,-10.2,NHS Borders,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
80,20200112,S08000016,NA,4,All,d,63,66.5,-5.3,NHS Borders,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
81,20200112,S08000016,NA,5,All,d,11,17.5,-37.1,NHS Borders,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
82,20200112,S08000017,NA,1,All,d,44,58,-24.1,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
83,20200112,S08000017,NA,2,All,d,121,127.5,-5.1,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
84,20200112,S08000017,NA,3,All,d,172,180,-4.4,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
85,20200112,S08000017,NA,4,All,d,67,74.5,-10.1,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
86,20200112,S08000017,NA,5,All,d,41,31,32.3,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
87,20200112,S08000019,NA,1,All,d,202,221.5,-8.8,NHS Forth Valley,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
88,20200112,S08000019,NA,2,All,d,206,239.5,-14,NHS Forth Valley,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
89,20200112,S08000019,NA,3,All,d,143,222,-35.6,NHS Forth Valley,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
90,20200112,S08000019,NA,4,All,d,124,172.5,-28.1,NHS Forth Valley,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
91,20200112,S08000019,NA,5,All,d,126,135,-6.7,NHS Forth Valley,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
92,20200112,S08000020,NA,1,All,d,115,113,1.8,NHS Grampian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
93,20200112,S08000020,NA,2,All,d,250,267,-6.4,NHS Grampian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
94,20200112,S08000020,NA,3,All,d,314,300.5,4.5,NHS Grampian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
95,20200112,S08000020,NA,4,All,d,372,383,-2.9,NHS Grampian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
96,20200112,S08000020,NA,5,All,d,273,290.5,-6,NHS Grampian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
97,20200112,S08000022,NA,1,All,d,105,92,14.1,NHS Highland,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
98,20200112,S08000022,NA,2,All,d,151,147.5,2.4,NHS Highland,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
99,20200112,S08000022,NA,3,All,d,266,272,-2.2,NHS Highland,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
100,20200112,S08000022,NA,4,All,d,204,188.5,8.2,NHS Highland,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
101,20200112,S08000022,NA,5,All,d,56,39.5,41.8,NHS Highland,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
102,20200112,S08000024,NA,1,All,d,370,363,1.9,NHS Lothian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
103,20200112,S08000024,NA,2,All,d,643,565,13.8,NHS Lothian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
104,20200112,S08000024,NA,3,All,d,435,412,5.6,NHS Lothian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
105,20200112,S08000024,NA,4,All,d,411,338.5,21.4,NHS Lothian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
106,20200112,S08000024,NA,5,All,d,467,473,-1.3,NHS Lothian,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
107,20200112,S08000025,NA,3,All,d,8,8,0,NHS Orkney,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
108,20200112,S08000025,NA,4,All,d,31,23,34.8,NHS Orkney,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
109,20200112,S08000026,NA,3,All,d,14,16.5,-15.2,NHS Shetland,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
110,20200112,S08000026,NA,4,All,d,17,24,-29.2,NHS Shetland,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
111,20200112,S08000028,NA,2,All,d,15,16,-6.2,NHS Western Isles,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
112,20200112,S08000028,NA,3,All,d,71,61,16.4,NHS Western Isles,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
113,20200112,S08000029,NA,1,All,d,258,246.5,4.7,NHS Fife,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
114,20200112,S08000029,NA,2,All,d,240,231.5,3.7,NHS Fife,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
115,20200112,S08000029,NA,3,All,d,174,183.5,-5.2,NHS Fife,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
116,20200112,S08000029,NA,4,All,d,157,155,1.3,NHS Fife,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
117,20200112,S08000029,NA,5,All,d,113,111.5,1.3,NHS Fife,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
118,20200112,S08000030,NA,1,All,d,262,270.5,-3.1,NHS Tayside,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
119,20200112,S08000030,NA,2,All,d,249,248.5,0.2,NHS Tayside,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
120,20200112,S08000030,NA,3,All,d,260,250,4,NHS Tayside,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
121,20200112,S08000030,NA,4,All,d,339,308.5,9.9,NHS Tayside,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
122,20200112,S08000030,NA,5,All,d,199,191.5,3.9,NHS Tayside,20180202,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
123,20200112,S08000031,NA,1,All,d,1664,1673.5,-0.6,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
124,20200112,S08000031,NA,2,All,d,796,817.5,-2.6,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
125,20200112,S08000031,NA,3,All,d,609,573.5,6.2,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
126,20200112,S08000031,NA,4,All,d,514,507.5,1.3,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
127,20200112,S08000031,NA,5,All,d,541,626.5,-13.6,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
128,20200112,S08000032,NA,1,All,d,598,602.5,-0.7,NHS Lanarkshire,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
129,20200112,S08000032,NA,2,All,d,475,507.5,-6.4,NHS Lanarkshire,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
130,20200112,S08000032,NA,3,All,d,284,309.5,-8.2,NHS Lanarkshire,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
131,20200112,S08000032,NA,4,All,d,225,222.5,1.1,NHS Lanarkshire,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
132,20200112,S08000032,NA,5,All,d,138,144,-4.2,NHS Lanarkshire,20190401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
133,20200112,S92000003,d,1,All,d,4138,4131.5,0.2,All Scotland,NA,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
134,20200112,S92000003,d,2,All,d,3513,3579,-1.8,All Scotland,NA,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
135,20200112,S92000003,d,3,All,d,3051,3149,-3.1,All Scotland,NA,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
136,20200112,S92000003,d,4,All,d,2683,2652,1.2,All Scotland,NA,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
137,20200112,S92000003,d,5,All,d,2105,2217,-5.1,All Scotland,NA,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
138,20200112,NA,NA,1,All,d,57,57.5,-0.9,NHS Region Unknown,NA,NA,NA,2020,1,12,2020-01-12,TRUE,0
139,20200112,NA,NA,2,All,d,45,53,-15.1,NHS Region Unknown,NA,NA,NA,2020,1,12,2020-01-12,TRUE,0
140,20200112,NA,NA,3,All,d,48,42.5,12.9,NHS Region Unknown,NA,NA,NA,2020,1,12,2020-01-12,TRUE,7
141,20200112,NA,NA,4,All,d,42,46,-8.7,NHS Region Unknown,NA,NA,NA,2020,1,12,2020-01-12,TRUE,0
142,20200112,NA,NA,5,All,d,39,42,-7.1,NHS Region Unknown,NA,NA,NA,2020,1,12,2020-01-12,TRUE,0
143,20200119,S08000015,NA,1,All,d,366,452,-19,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
144,20200119,S08000015,NA,2,All,d,284,300.5,-5.5,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
145,20200119,S08000015,NA,3,All,d,173,203,-14.8,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
146,20200119,S08000015,NA,4,All,d,135,142,-4.9,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
147,20200119,S08000015,NA,5,All,d,99,108,-8.3,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
148,20200119,S08000016,NA,1,All,d,14,18.5,-24.3,NHS Borders,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
