hb,hb_name,wdate,year,month,day,iswinter,age_band,admissions,avg_20182019,percent_var
S92000003,All Scotland,2022-07-24,2022,7,24,FALSE,18-74,302,NA,NA
S92000003,All Scotland,2022-07-31,2022,7,31,FALSE,18-74,222,NA,NA
S92000003,All Scotland,2022-08-07,2022,8,7,FALSE,18-74,175,NA,NA
S92000003,All Scotland,2022-08-14,2022,8,14,FALSE,18-74,146,NA,NA
S92000003,All Scotland,2022-08-21,2022,8,21,FALSE,18-74,108,NA,NA
S92000003,All Scotland,2022-08-28,2022,8,28,FALSE,18-74,121,NA,NA
S92000003,All Scotland,2022-09-04,2022,9,4,FALSE,18-74,119,NA,NA
S92000003,All Scotland,2022-09-11,2022,9,11,FALSE,18-74,133,NA,NA
S92000003,All Scotland,2022-09-18,2022,9,18,FALSE,18-74,120,NA,NA
S92000003,All Scotland,2022-09-25,2022,9,25,FALSE,18-74,117,NA,NA
S92000003,All Scotland,2022-10-02,2022,10,2,TRUE,18-74,89,NA,NA
S92000003,All Scotland,2022-10-09,2022,10,9,TRUE,18-74,92,NA,NA
S92000003,All Scotland,2022-10-16,2022,10,16,TRUE,18-74,90,NA,NA
S92000003,All Scotland,2020-03-01,2020,3,1,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-08,2020,3,8,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-15,2020,3,15,TRUE,18-74,34,NA,NA
S92000003,All Scotland,2020-03-22,2020,3,22,TRUE,18-74,132,NA,NA
S92000003,All Scotland,2020-03-29,2020,3,29,TRUE,18-74,460,NA,NA
S92000003,All Scotland,2020-04-05,2020,4,5,FALSE,18-74,694,NA,NA
S92000003,All Scotland,2020-04-12,2020,4,12,FALSE,18-74,447,NA,NA
S92000003,All Scotland,2020-04-19,2020,4,19,FALSE,18-74,292,NA,NA
S92000003,All Scotland,2020-04-26,2020,4,26,FALSE,18-74,181,NA,NA
S92000003,All Scotland,2020-05-03,2020,5,3,FALSE,18-74,151,NA,NA
S92000003,All Scotland,2020-05-10,2020,5,10,FALSE,18-74,102,NA,NA
S92000003,All Scotland,2020-05-17,2020,5,17,FALSE,18-74,67,NA,NA
S92000003,All Scotland,2020-05-24,2020,5,24,FALSE,18-74,29,NA,NA
S92000003,All Scotland,2020-05-31,2020,5,31,FALSE,18-74,24,NA,NA
S92000003,All Scotland,2020-06-07,2020,6,7,FALSE,18-74,5,NA,NA
S92000003,All Scotland,2020-06-14,2020,6,14,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-21,2020,6,21,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-28,2020,6,28,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-05,2020,7,5,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-12,2020,7,12,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-19,2020,7,19,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-26,2020,7,26,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-02,2020,8,2,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-09,2020,8,9,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-16,2020,8,16,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-23,2020,8,23,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-30,2020,8,30,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-09-06,2020,9,6,FALSE,18-74,5,NA,NA
S92000003,All Scotland,2020-09-13,2020,9,13,FALSE,18-74,6,NA,NA
S92000003,All Scotland,2020-09-20,2020,9,20,FALSE,18-74,34,NA,NA
S92000003,All Scotland,2020-09-27,2020,9,27,FALSE,18-74,72,NA,NA
S92000003,All Scotland,2020-10-04,2020,10,4,TRUE,18-74,119,NA,NA
S92000003,All Scotland,2020-10-11,2020,10,11,TRUE,18-74,221,NA,NA
S92000003,All Scotland,2020-10-18,2020,10,18,TRUE,18-74,358,NA,NA
S92000003,All Scotland,2020-10-25,2020,10,25,TRUE,18-74,422,NA,NA
S92000003,All Scotland,2020-11-01,2020,11,1,TRUE,18-74,409,NA,NA
S92000003,All Scotland,2020-11-08,2020,11,8,TRUE,18-74,286,NA,NA
S92000003,All Scotland,2020-11-15,2020,11,15,TRUE,18-74,305,NA,NA
S92000003,All Scotland,2020-11-22,2020,11,22,TRUE,18-74,295,NA,NA
S92000003,All Scotland,2020-11-29,2020,11,29,TRUE,18-74,230,NA,NA
S92000003,All Scotland,2020-12-06,2020,12,6,TRUE,18-74,195,NA,NA
S92000003,All Scotland,2020-12-13,2020,12,13,TRUE,18-74,184,NA,NA
S92000003,All Scotland,2020-12-20,2020,12,20,TRUE,18-74,250,NA,NA
S92000003,All Scotland,2020-12-27,2020,12,27,TRUE,18-74,244,NA,NA
S92000003,All Scotland,2021-01-03,2021,1,3,TRUE,18-74,448,NA,NA
S92000003,All Scotland,2021-01-10,2021,1,10,TRUE,18-74,617,NA,NA
S92000003,All Scotland,2021-01-17,2021,1,17,TRUE,18-74,657,NA,NA
S92000003,All Scotland,2021-01-24,2021,1,24,TRUE,18-74,573,NA,NA
S92000003,All Scotland,2021-01-31,2021,1,31,TRUE,18-74,445,NA,NA
S92000003,All Scotland,2021-02-07,2021,2,7,TRUE,18-74,377,NA,NA
